ID z_spec logmstar logmstar_ehigh logmstar_elow log_Ha_flux UV_flux logSFR10 logSFR10_ehigh logSFR10_elow logSFR100 logSFR100_ehigh logSFR100_elow r_eff_Ha_kpc r_eff_Ha_kpc_ehigh r_eff_Ha_kpc_elow r_eff_UV_kpc r_eff_UV_kpc_ehigh r_eff_UV_kpc_elow
192600 5.39 7.987961771903225 0.16 0.11 -17.156 2.712254990834381e-32 0.859654117034607 0.040372718365435545 0.1497660659007014 -0.07302365246837005 0.123476645318155 0.06034232969804289 1.269102962636705 0.29100879149857206 0.2862179397714131 1.4094647075057358 0.21686924089712112 0.2917540044205722
1080875 5.19 9.432794559753491 0.1 0.19 -17.355 2.7970129592979554e-32 0.6943290270194686 0.17867685297851954 0.19905209784116074 0.9025797399736305 0.1983036500763048 0.15268981229398138 1.124173709080434 0.16908648307399576 0.1490527436824542 1.7629636299572597 0.11347116262329493 0.16377671138628935
143952 5.0 8.97770949464346 0.19 0.34 -17.184 1.2078010506059352e-32 0.6979176024451467 0.18015172566139737 0.15098611438992204 0.4583122527882234 0.16748302823988004 0.1347788293072763 1.524139734998781 0.18697697308525515 0.17381013931150793 0.8027755763526194 0.04123715154571794 0.05318436367578527
85427 5.39 9.303152406059079 0.07 0.12 -17.083 3.6445926439336996e-32 1.029042387201297 0.17916366059503264 0.17091373314814118 0.9515965179666204 0.09661681369008446 0.052986074273805195 1.4961902548552266 0.22024449469957874 0.20894405449934708 1.2004613397047308 0.2523286306313727 0.41362613882335975
1018651 5.27 9.636218427701438 0.1 0.29 -17.229 9.959061294469993e-33 0.7460408922978276 0.26711072304788475 0.1705941912894805 0.8500009473214285 0.2054676823919881 0.2582371111908287 1.3672995920805175 0.23593893446305522 0.2124941334651324 0.9219612869843641 0.0724210534749623 0.09062012649846318
1035508 5.19 9.425236239432456 0.18 0.21 -17.479 2.8605814356456363e-32 0.7857955329618338 0.23438024625780107 0.21206146015580274 1.1542185943616765 0.18812221938270235 0.17161635313019186 1.1530732991817756 0.2968431997887807 0.2737905148082367 1.145434004045179 0.058614153392869905 0.07997995769414157
118594 5.04 8.992293307570419 0.04 0.05 -17.037 1.1018535900264673e-32 0.6671446082040784 0.1352580728550229 0.08813357213422945 -0.01828212638447357 0.07600985209300949 0.13884337525781093 0.918774519636606 0.22525233012300183 0.14997513385170605 0.8583816794551341 0.15041824691390848 0.20106928924206102
1028887 5.19 9.562708868331974 0.19 0.19 -16.886 3.983624517787997e-32 1.148824603316796 0.2162195527210593 0.17440868364790807 1.1023668886339306 0.13359590550063305 0.20327387222502913 1.1219292534987757 0.10543827950004556 0.10042340776971836 1.2982216555178925 0.07790086252160955 0.0935944828839732
81034 5.39 8.773777277185742 0.28 0.3 -17.157 1.3985064796489777e-32 0.9217596382067746 0.17825675990276169 0.1117038172899888 0.5042731772239591 0.16270833972624033 0.22946854429149932 2.0320033128462027 0.5117509524320425 0.42602349091588204 1.1595010764930744 0.10267960300146495 0.134558468915277
1027712 5.18 9.08050099919815 0.28 0.22 -16.941 3.9200560414403157e-32 1.0272778212612568 0.1400682203897996 0.12928989992131257 0.45107914319122155 0.2901678873578327 0.1957394433841621 1.5815705485807072 0.13637712537375934 0.12788112350590494 2.6192950048865358 0.33542867776553464 0.46350832516952023
1002030 5.18 9.484457219821575 0.18 0.24 -17.055 3.623403151817806e-32 0.9264788080561935 0.17128295291896733 0.1073757329038777 1.101166838959056 0.1362128493559729 0.2459680249045798 1.3724149528618104 0.1935535954108622 0.17841581904446563 1.2520958585099076 0.06584998621149274 0.08855687800855927
191250 5.39 10.16830040755211 0.3 0.09 -16.49 9.238618562529611e-32 1.694928124858655 0.23701983269028792 0.17149707204578313 1.9998040451086845 0.10068728051864051 0.12435650888256977 2.449806945141005 0.060236014480507145 0.05575486741851536 2.032185781315826 0.055084345810970436 0.07474407865932964
