Complexity,Loss,Equation
1,1.9712588,"49.3304"
3,1.0660056,"110.02078 - x2"
5,1.0567075,"(x2 * -1.1120814) + 116.82924"
8,0.7313764,"exp((x0 / 2.12625) + 1.4496818) + 47.384678"
16,0.72583187,"exp((x0 / 11.376315) + 3.9458172) + (((-5.6873614e-5 / x0) * x2) - (x0 * 2.8616188))"
22,0.72229105,"((x2 + (x2 * -1.6146756)) + (exp(x0) - -44.152397)) - ((-3.1219375 / (x2 * 1.9421995)) + ((x0 * -0.25390995) + -42.774128))"
23,0.5302127,"((exp(x1) + (x2 * -1.0111635)) + (exp(x0) - -56.6362)) - ((-2.4222484 / (x2 * 1.4121392)) + ((x0 * -0.014109008) + -52.157295))"
